ten_hdd,hang,thong_so,gia_vnd,link_hinh_anh,category
Ổ cứng HDD 8TB Western Ultrastar HC320 (HUS728T8TALE6L4),Unknown,Ổ cứng HDD 8TB Western Ultrastar HC320 (HUS728T8TALE6L4),8590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,HDD
"Ổ cứng HDD Seagate BarraCuda 4TB | SATA III, 3.5"" (ST4000DM004)",Seagate,"Ổ cứng HDD Seagate BarraCuda 4TB | SATA III, 3.5"" (ST4000DM004)",3390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,HDD
"Ổ cứng HDD Seagate SkyHawk 4TB | SATA III, 3.5"" (ST4000VX016)",Seagate,"Ổ cứng HDD Seagate SkyHawk 4TB | SATA III, 3.5"" (ST4000VX016)",3590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,HDD
"Ổ cứng HDD Western Digital Black 4 TB | SATA III, 3.5"" (WD4006FZBX)",WD,"Ổ cứng HDD Western Digital Black 4 TB | SATA III, 3.5"" (WD4006FZBX)",4950000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,HDD
"Ổ cứng HDD Western Digital Black 6 TB | SATA III, 3.5"" (WD6004FZBX)",WD,"Ổ cứng HDD Western Digital Black 6 TB | SATA III, 3.5"" (WD6004FZBX)",6990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,HDD
"Ổ cứng HDD Western Digital Blue 1 TB | SATA III, 3.5"" (WD10EZEX)",WD,"Ổ cứng HDD Western Digital Blue 1 TB | SATA III, 3.5"" (WD10EZEX)",2390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,HDD
"Ổ cứng HDD Western Digital Blue 2 TB Cũ | SATA III, 3.5"" (WD20EZBX)",WD,"Ổ cứng HDD Western Digital Blue 2 TB Cũ | SATA III, 3.5"" (WD20EZBX)",2890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,HDD
"Ổ cứng HDD Western Digital Blue 4TB | SATA III, 3.5"" (WD40EZAX)",WD,"Ổ cứng HDD Western Digital Blue 4TB | SATA III, 3.5"" (WD40EZAX)",3490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,HDD
"Ổ cứng HDD Western Digital Blue 6 TB | SATA III, 3.5"" (WD60EZAX)",WD,"Ổ cứng HDD Western Digital Blue 6 TB | SATA III, 3.5"" (WD60EZAX)",4990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,HDD
"Ổ cứng HDD Western Digital Red Plus 4TB | SATA III, 3.5"" (WD40EFPX)",WD,"Ổ cứng HDD Western Digital Red Plus 4TB | SATA III, 3.5"" (WD40EFPX)",3890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,HDD
"Ổ cứng HDD Western Digital Red Plus 6 TB | SATA III, 3.5"" (WD60EFPX)",WD,"Ổ cứng HDD Western Digital Red Plus 6 TB | SATA III, 3.5"" (WD60EFPX)",5790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,HDD
